Nugget's casting director friend eats some of the goo with Nugget.,Nugget'ın oyuncu yönetmeni arkadaşı Nugget'la birlikte biraz balçık yerse Nugget'ın fikri değişebilir.
Deal.,Anlaştık.
Not happening.,Olmaz.
Yes! Consume the goo and Nugget will be an actor-!,Evet! Balçığı tüket ve Nugget bir aktör olsun-!
That might be a good idea.,Bu iyi bir fikir olabilir.
Nugget will start preparing for his role... <kgwait>after consuming more goo.,Nugget rolüne hazırlanmaya başlayacak... <kgwait>biraz daha balçık tükettikten sonra.
Break a leg Nugget.,Göreyim seni Nugget.
Very well. Nugget is happy to die a nameless nobody.,"Pekala. Nugget, isimsiz bir hiç olarak ölmekten memnun."
(Let him die a nameless nobody.),(Onun isimsiz bir hiç olarak ölmesine izin ver.)
I see Nugget's friend did not die from the goo.,"Nugget, Nugget'ın arkadaşının balçık yüzünden ölmediğini fark etti."
Nope. Bye.,Hayır. Bye.
I did not.,Ölmedim evet.
Nugget is impressed by his goo eating friend's fortitude,"Nugget, balçık yiyen arkadaşının dayanıklılığından etkilendi."
Me too honestly.,"Dürüst olmak gerekirse, ben de."
Wanna be Red Riding Hood?,Kırmızı Başlıklı Kız olmak ister misin?
How about you take this instead?,Bunu almaya ne dersin peki?
What is-?<kgwait> How did Nugget's friend procure a Nugget of Friendship<sup>TM</sup> without first being a friend of Nugget?,O da nedir-?<kgwait> Nugget'ın arkadaşı nasıl Nugget'ın arkadaşlığını kazanmadan bir Arkadaşlık Nugget'ı<sup>TM</sup> edinebildi?
Do you want it or not?,"İstiyor musun, istemiyor musun?"
"Yes, of course Nugget wants it!<kgwait> And Nugget will be in the play! Nugget will be an actor!","Evet, elbette Nugget onu istiyor!<kgwait> Ve Nugget tiyatroda oynayacak! Nugget bir aktör olacak!"
"Break a leg, Nugget.",Göreyim seni Nugget.
Nugget appreciates the Nugget of Friendship.<sup>TM</sup> Nugget looks forward to being a child of red hoods.,"Nugget, Arkadaşlık Nugget'ını<sup>TM</sup> takdir ediyor. Nugget kırmızı başlıklı olmak için sabırsızlanıyor."
Same bruh.,Aynen bruh.
Wanna be in a play?,Bir tiyatroda oynamak ister misin?
Nugget supposes since his goo friend ate goo.,Nugget'ın balçık yiyen arkadaşı balçığı yediğine göre Nugget isteyebilir.
Is that a yes?,Bu evet demek mi?
Nugget will sign the paper. Nugget will be a thespian!,Nugget kağıdı imzalayacak. Nugget bir tiyatrocu olacak!
Good for you Nugget.,"Ne iyi, Nugget."
Oh my.<kgwait=1> Yes... Nugget's friend is too late. Nugget's friend should have eaten goo earlier so he had time to get help before the bell rang.,Aman.<kgwait=1> Evet... Nugget'ın arkadaşı çok gecikti. Zil çalmadan önce yardım alabilmesi için Nugget'ın arkadaşının balçığı daha erken yemesi gerekiyordu.
I think I'm gonna-,Sanırım ben-
Smell this.,Bunu kokla.
A-<kgwait> A-<kgwait> A flower?!<kgwait> This flower... <kgwait>it is reminding Nugget of things. Of a time before the goo.,B-<kgwait> Bir-<kgwait> Bir çiçek?!<kgwait> Bu çiçek... <kgwait>Nugget'a bir şeyleri hatırlatıyor. Balçıktan önceki zamanları.
Like two minutes ago?,Yani iki dakika öncesi falan mı?
Such distant memories.<kgwait> Alas.,Ne uzak hatıralar.<kgwait> Heyhat.
Alas.,Heyhat.
Nugget is starting to feel quite odd after sniffing the-,Nugget çiçeği kokladıktan sonra biraz garip hissetmeye-
<size=100>AAAAAAAAAAAAHHHHHHHHHH!!!</size>,<size=100>AAAAAAAAAAAAHHHHHHHHHH!!!</size>
What's wrong?,Ne oldu?
What's wrong?! Look at poor Nugget!<kgwait> Nugget is covered in goo! Nugget needs to get the goo off! ,Ne mi oldu?! Zavallı Nugget'ın haline bak!<kgwait> Nugget balçıkla kaplanmış! Nugget'ın balçığı üstünden temizlemesi gerekli!
Good idea.,İyi fikir.
"<wave>Excuse me, pardon me. Oh, child in my care,<kgwait><br>The bell has not yet rung, so you can't go in there!</wave>","<wave>Gözetimim altındaki çocuk, özür dilerim<kgwait><br>Zil henüz çalmadı ki içeri girelim!</wave>"
But Nugget is covered in goo!<kgwait> Nugget does not wish to be covered in goo any longer!,Ama Nugget'ın üstü balçıkla kaplı!<kgwait> Nugget artık balçıkla kaplı olmayı istemiyor!
<wave>I understand that you're covered in goo and ick!<kgwait><br>But I won't let you inside because you don't seem sick!</wave>,<wave>Balçık ve pislik ile kaplı olduğunu anlayabiliyorum!<kgwait><br>Fakat hasta görünmediğin için içeri girmene izin vermiyorum!</wave>
Surely the sing-song lady will let Nugget inside!,Eminim ki şarkıcı hanım Nugget'ı içeri alabilir!
<wave>Perhaps I could. Perhaps I may.<kgwait><br>I'll let you in if you'll star in a play!</wave>,<wave>Belki yapabilirim. Belki de olur.<kgwait><br>Tiyatroda oynarsan bir yolu bulunur!</wave>
"Yes, Nugget will do anything to remove the goo. Now can Nugget please go inside?","Olur, Nugget üstündeki balçığı temizlemek için her şeyi yapar. Şimdi lütfen Nugget içeri girebilir mi?"
<wave>Not so fast! Not so quick!<kgwait><br>You have to decide which play to pick!</wave>,"<wave>Hop bakalım, O kadar hızlı değil!<kgwait><br>Hangi oyunu oynayacağımızı seçin!</wave>"
Nugget does not care which play!,Nugget hangi oyunun oynanacağını önemsemiyor!
"<wave>Well, until you can name a play, I fear...<kgwait><br>You're going to have to stay right here.</wave>","<wave>Eh, söyleyinceye kadar bir oyun ismini...<kgwait><br>Kıpırdatamazsın bile vücudunu, cismini.</wave>"
Nugget is growing frustrated.,Nugget iyice sinirlenmeye başlıyor.
Nugget is growing increasingly frustrated with the sing-song teacher lady. Does Nugget's flower friend know any plays?,Nugget şarkıcı öğretmen hanıma iyice sinirlenmeye başlıyor. Nugget'ın çiçek arkadaşı bir tiyatro oyunu biliyor mu?
I do.,Biliyorum.
Nope.,Hayır.
Aha!<kgwait> Nugget will pick one from this book!<kgwait> Nugget will do Romeo and Juliet!,Aha!<kgwait> Nugget bu kitaptan birini seçecek!<kgwait> Nugget Romeo ve Juliet'i seçiyor!
<wave>An excellent choice! I'm thrilled you know!<kgwait><br>You'll make a wonderful Shakespearean Romeo!</wave>,<wave>Mükemmel bir seçim! Çok heyecanlıyım!<kgwait><br>Acaba harikulade Romeo'yu bulacak mıyım?</wave>
"Yes, yes.<kgwait> Nugget will be great. Now can Nugget go inside?","Evet, evet.<kgwait> Nugget çok iyi olacak. Şimdi Nugget içeri girebilir mi?"
"<wave>Yes, you may, but heed my call.<kgwait><br>If you don't do the play, you'll get study hall!</wave>","<wave>Evet, girebilirsin. Fakat çağrıma kulak ver.<kgwait><br>Oyunu oynamayanlar çalışma cezasına gider!</wave>"
Nugget agrees to the sing-song lady's demands. Farewell.,Nugget şarkıcı öğretmen hanımın şartlarını kabul ediyor. Görüşürüz.
"<wave>I was going to put on the play, Little Red...<kgwait><br>But you would make a fantastic Romeo instead!</wave>","<wave>Bir tiyatro oyunu oynatacaktım, Kırmızı Başlıklı...<kgwait><br>Ama senden mükemmel bir Romeo çıkmalı!</wave>"
Here.,İşte.
"This is a very peculiar Nugget of Friendship.<sup>TM</sup> It is green like goo and yet, not of goo at all.","Bu pek garip bir Arkadaşlık Nugget'ı.<sup>TM</sup> Tıpkı balçık gibi yeşil, ama balçıktan yapılmış gibi görünmüyor."
Do you want it?,Onu ister misin?
No. Nugget prefers his nuggets a cripsy brown color.,"Hayır. Nugget, nuggetlarını daha pişkin bir kahverengi tonunda sever."
Fair enough.,İyi bakalım.
I can't believe it. What an absolute idiot.,İnanamıyorum. Ne aptal biri.
What's got you so annoyed?,Seni bu kadar sinirlendiren ne?
Nope. Not getting involved.,Hayır. Ben buna karışmıyorum.
Ugh. It's that girl over there! She's growing vegetables! Ew! Not vegan!,Igh. Şuradaki kız! Gitmiş sebze yetiştiriyor! Iy! Kesinlikle vegan değil!
She wants to be your friend.,Seninle arkadaş olmak istiyor.
"Still don't know what that means, huh?",Hala bunun ne demek olduğunu bilmiyorsun ha?
Shut it. Go away if you love vegetables so much.,Kapa çeneni. Eğer sebzeleri bu kadar seviyorsan buradan kaybol.
I guess I will.,Sanırım öyle yapacağım.
Hahaha! What?! That'll be the day! Me being friends with Vegetable Veronica over there!,Hahaha! Ne?! Şuradaki Sebzeci Serap'la arkadaş olacakmışım! Asla olmaz!
Her name is Emmy.,Onun adı Emmy.
Yeah? Well she's about to have a lot of work to do!,Öyle mi? Yapacak çok işi olacak o zaman!
She is?,Neden ki?
"Hey there, Garden Greta!<kgwait> I heard you wanted some help over here!","Ne haber, Bahçeci Başak!<kgwait> Yardıma ihtiyacın olduğunu duydum!"
"Oh! Actually my name is Emmy, but yes I could-","Oh! Aslında, benim adım Emmy, ama evet, yardımın-"
Great! Lemme just get rid of these horrible vegetables for you so we can make room for some flowers!,Harika! İzin ver senin için şu korkunç sebzelerden kurtulayım da güzel çiçeklere yer açılsın!
"Wait, no! That's not what I want you to-","Bekle, hayır! Ben bunu yapmanı istemed-"
<size=100>MY CARROTS!!</size>,<size=100>HAVUÇLARIM!!</size>
<size=100>MY CABBAGES!!</size>,<size=100>LAHANALARIM!!</size>
<size=100>MY WILL TO LIVE!!</size>,<size=100>YAŞAMA SEVİNCİM!!</size>
"You've ruined everything, you little flytrap! I'll never forgive you!","Her şeyi berbat ettin, seni küçük sinekkapan! Seni asla affetmeyeceğim!"
"Yeah, yeah. Pipe down. So how do we get flowers growing in here?","Aynen, he. Sesini kes. Şimdi burada nasıl çiçek yetiştirebiliriz?"
<size=100>WAAAAAAAHH!!</size>,<size=100>AAAAAAAHH!!</size>
Wait!<kgwait=0.5> Come back!<kgwait=0.5> I need you to tell me how to make flowers!,Bekle!<kgwait=0.5> Geri gel!<kgwait=0.5> Bana nasıl çiçek yapacağımızı anlatman lazım!
"Oh, forget it. What a waste of time.","Ah, unut gitsin. Ne zaman kaybı ama."
I can't believe I muddied my shoes just so Broccoli Becky can flake on me.,Sırf şu Brokoli Beril benden kaçsın diye ayakkabılarımı çamura buladığıma inanamıyorum.
Yeah. Unbelievable.,Evet. İnanılmaz.
Was the spit necessary?,Tükürük gerekli miydi?
"Ummm... <kgwait=0.5>plants need water, don't they?","Immm... <kgwait=0.5>bitkilerin suya ihtiyacı var, değil mi?"
I guess they do.,Sanırım öyle.
Oh my gosh! Be still my beating heart!,Aman tanrım! Kalbim yerinden çıkacak sandım!
If only...,Keşke...
Bite me. Anyway... <kgwait=0.5>did you see that? That boy just threw a rock at that stupid vegetable girl.,"Aman üff. Her neyse... <kgwait=0.5>olayı gördün mü? Şu çocuk, az önce sebze kıza taş fırlattı!"
I think it was an accident.,Sanırım bu bir kazaydı.
It wasn't. Trust me. I've thrown a lot of rocks at girls in my day.,Değildi. Güven bana. Zamanında ben de bir sürü kıza taş fırlatmıştım.
Delightful.,Ne güzel.
You should totally introduce me. I love a bad boy.,Bizi kesinlikle tanıştırman gerek. Kötü çocuklara bayılırım.
Maybe.,Belki.
Wanna be in a play?,Bir tiyatroda oynamak ister misin?
A play? Why the heck would I want to do that?,Bir tiyatro mu? Neden böyle bir şey yapmak isteyeyim ki?
You'll be famous.,Ünlü olursun.
You'll get flowers thrown at you.,Üzerine çiçek atarlar.
You'll get all the boys' attention.,Tüm erkeklerin ilgisini üzerine çekersin.
"I suppose I could get a jump start on becoming a celebrity. I wasn't going to star in my first major movie until I was six, but this could be a good stepping stone.",Sanırım ünlü olma hedefime hızlı bir başlangıç yapabilirim. Altı yaşıma kadar ilk büyük filmimde oynamayı düşünmüyordum ama bu güzel bir basamak olabilir.
You know I love my flowers. Fine.<kgwait> I'll be in your stupid play. ,Çiçeklere bayıldığımı biliyorsun. Peki.<kgwait> Senin aptal oyununu oynayacağım.
"Not that I have a problem with that right now anyway, but a popularity boost couldn't hurt. Fine. I'll be in your stupid play.",Bu konuda pek bir sıkıntım olduğundan değil ama bir popülerlik takviyesi fena olmaz. Peki. Senin aptal oyununu oynayacağım.
Break a leg.,Şeytanın bacağını kır.
Haha. Not if I break yours first.,Haha. Tabii önce seninkini kırmazsam.
It'll be a good career move.,Bu iyi bir kariyer adımı olur.
Fine. I'll be in your stupid play.,Peki. Senin aptal oyununu oynayacağım.
(Walk away with my unbroken legs.),(Kırılmamış bacaklarınla oradan uzaklaş.)
I can't believe I'm gonna be famous already. This play better not suck.,Şimdiden ünlü olacağıma inanamıyorum. Bu tiyatro berbat olmazsa iyi olur.
Here's hoping.,Öyle umalım.
Hey!<kgwait> What gives?!,Hey!<kgwait> Ne oluyor?!
"I just don't get you, Greenhouse Gertrude.","Seni anlamıyorum, Seracı Serap."
No. I don't think you do.,Haklısın. Anladığını sanmıyorum.
"I've spat on, stomped, and stole everything you've cared about today!<kgwait> How can you still be trying to fix it? Just accept that I'm prettier than you!","Bugün önemsediğin her şeyi çaldım, üstüne bastım ve tükürdüm!<kgwait> Nasıl hala bunu düzeltmeye uğraşabiliyorsun? Sadece benim senden güzel olduğumu kabul et!"
"Well, that's the thing about plants I don't think you get..",İşte senin bitkiler hakkında hiç anlamadığın şey bu...
Unless you get the root...,Köküne inmediğin sürece...
<size=100>THEY TEND TO GROW BACK!!</size>,<size=100>TEKRAR BÜYÜYEBİLİRLER!!</size>
*Hngh*<kgwait> All of this...<kgwait> you're still just an ugly gardener.,*Hngh*<kgwait> Tüm bunlara rağmen...<kgwait> Sen sadece çirkin bir bahçıvansın.
Just...<kgwait> just..<kgwait> an-,Sa...<kgwait> sadece...<kgwait> bir-
"I think we've heard enough out of you, Fertilizer Farrah.","Bence seni yeterince dinledik, Gübreci Gülben."
Wanna be Red Riding Hood?,Kırmızı Başlıklı Kız olmak ister misin?
Wow. That's kinda messed up.,Vay be. Bu söylediğin çok düşüncesizce.
It is?,Öyle mi?
Yeah. My grandma was actually eaten by wolves. It was really messed up...,Evet. Büyükannem gerçekten kurtlar tarafından yenmişti. Çok kötüydü...
"Oh, I'm sorr-","Ah, özür dileri-"
How she cut me out of the will!<kgwait> I'm still mad that greedy old wench left me with nothing!,Nasıl beni mirasından kesebildi?<kgwait> Hala o cimri fahişe bana bir şey bırakmadığı için kızgınım!
So that's a 'no'?,Yani bu 'hayır' demek mi?
"Unless you know a really good estate attorney, yeah. It's a 'no.'",Eğer iyi bir emlak avukatı tanımıyorsan evet. 'Hayır' demek.
Okay then.,Tamam o zaman.
C'mon!<kgwait> My mom is always late picking me up anyway! Just have your fancy driver drop me off at home!,Hadi ama!<kgwait> Annem zaten beni almaya hep geç kalıyor! Senin şoförün beni de evime bıraksa ne olur yani?!
Absolutely not!<kgwait> Driverton is on strict orders to take me directly to and from this awful establishment and nothing more. Now get away from me.,Kesinlikle olmaz!<kgwait> Driverton'ın tek talimatı beni bu korkunç binaya getirmek ve sonra buradan alıp geri götürmektir. Şimdi benden uzaklaş.
Killjoy!,Gıcık şey!
He is shockingly late.<kgwait> Do you think the school actually informed our guardians of the early dismissal?,"Şaşırtıcı bir şekilde geciktiler.<kgwait> Sence okul, bu erken dağılma işini ailelerimize haber vermiş midir?"
"I've learned to expect less than the bare minimum of these schools, so I'm gonna say 'no.'",Bu okullardan beklentimi minimumun altında tutmayı öğrendim. Yani bence cevap 'hayır.'
*Ugh*<kgwait> Not much more to do than wait I suppose.,*Igh*<kgwait> Sanırım beklemekten başka yapacak bir şeyimiz yok.
Wow!<kgwait> That was great!,Vay canına!<kgwait> Bu harikaydı!
What was?,Ne?
I'm not interested.,İlgilenmiyorum.
That girl getting hit in the face with the rock!<kgwait> Maybe this new school won't be as bad as the last one.,Şu kızın suratına taş fırlatılması!<kgwait> Belki de bu okul eskisi kadar kötü değildir.
Yeah... maybe.,Evet... belki de.
Hello! My name is Emmy! Welcome to my garden! Please watch your step. I don't want the vegetables to get hurt!,Selam! Benim adım Emmy! Bahçeme hoş geldin! Lütfen adımlarına dikkat et. Sebzelerin zarar görmesini istemiyorum!
This seems like a lot of work.,Bu çok uğraştırıcı görünüyor.
(Leave her to her garden.),(Onu bahçesiyle bırak.)
"Oh goodness, it is! Some of the other girls and I used to take turns taking care of it, but most of them got pulled out after what happened yesterday.","Ah tanrım, evet öyle! Bahçeye bakma işini buradaki kızlarla ortaklaşa hallediyorduk. Ama dün olanlardan sonra çoğu çekildi."
What happened yesterday?,Dün ne oldu?
Do you want some help?,Biraz yardım ister misin?
It was nice meeting you.,Seninle tanışmak güzeldi.
"Oh, that would be wonderful!<kgwait> But... <kgwait>um... <kgwait>it is a bit of a tradition around here for the girls to tend to the garden. Could you maybe introduce me to one of the girls from your other school?","Oh, bu harika olurdu!<kgwait> Fakat... <kgwait>ım... <kgwait>buralarda gelenek, kızların bahçeyle ilgilenmesi. Beni sizin okulunuzdan bir kızla tanıştırma ihtimalin var mı?"
Sure.,Olur.
No thanks.,Hayır teşekkürler.
So many crazy things! Apparently there's been a lot of kids going missing and two schools this week have been exposed for experimenting on them! ,Bir sürü çılgınca şey! Söylenene göre bu hafta bir sürü çocuk kaybolmuş. Ve iki okulda onların üstünde deney yaptıkları ortaya çıkmış!
That is crazy.,Gerçekten çılgıncaymış.
"Yeah, I know! And now our principal has gone missing, a lot of the kids at this school got pulled out, you guys got sent here, and our old janitor is the substitute principal!","Evet, biliyorum! Şimdi de bizim müdürümüz kayboldu. Buradaki bir sürü çocuk da yok. Siz buraya gönderildiniz. Ve geçici müdürümüz buranın temizlikçisi oldu!"
"Oh, thank you! I can't wait to meet one of your friends! Just send her over here and I'll teach her how to take care of the garden!","Oh, teşekkür ederim! Arkadaşlarınla tanışmak için sabırsızlanıyorum! Sen onu buraya yolla, ben nasıl bahçeyle ilgileneceğini öğretirim!"
(Go find her a friend.),(Ona bir arkadaş bul.)
What was the old principal like?,Eski müdür nasıl biriydi?
What's the new principal like?,Yeni müdür nasıl biri?
"Oh, I always liked him. He was heartbroken when Alice went missing. I wish he was here to see that she's okay.","Oh, ben onu severdim. Alice kaybolduğunda çok üzülmüştü. Keşke burada olsaydı ve Alice'in iyi olduğunu görseydi."
Anything else?,Başka bir şey var mı?
"No, not really. He was just a nice man. You could talk to Davey if you want to know more. He's the kid by the pond. The old principal was his dad.",Pek yok. Sadece iyi bir adamdı. Daha fazlasını öğrenmek için Davey ile konuşabilirsin. Göletin yanında duran çocuk. Eski müdür onun babasıydı.
Thanks for the tip.,İpucu için teşekkürler.
I never really liked him. He's kind of a creep. Always skulking around and yelling at us for doing kid stuff. It's weird that he's in charge now.,Onu hiç sevemedim. Çok cins biri. Çok inatçı ve bize sürekli çocuk işleri yaptığımız için bağırıyor. Şimdi onun başa geçmesi biraz garip hissettiriyor.
Why?,Neden?
Uh... <kgwait>cause he used to be the janitor?! I mean... <kgwait>shouldn't we have a vice principal or something?,Uh... <kgwait>çünkü o temizlikçiydi?! Yani... <kgwait>Bu işi yapabilecek bir müdür yardımcımız falan yok muydu?
Oh yeah. What's up with that?,Oh doğru. Saçmaymış.
"I know! Anyway, I would steer clear of him. He's a kid hater.","Biliyorum! Her neyse, ben olsam ondan uzak dururdum. O, çocuklardan nefret ediyor."
"Oh, okay. Let me know if you change your mind.","Oh, tamam. Fikrini değiştirirsen bana haber ver."
Will do.,Tamamdır.
Have you found anyone yet? I could really use a feminine touch on these vegetables.,Birini bulabildin mi? Bu sebzelere feminen bir dokunuş çok iyi gelirdi.
Still looking.,Hala arıyorum.
"Woah, those are some ugly plants. Almost as ugly as you, Eggplant Edna.","Vay canına, bunlar çok çirkin bitkilermiş. Neredeyse senin kadar çirkin, Patlıcan Pınar."
"Oh yes, Doomed Donna. They can be quite ugly, but nothing compares to what you're about to be.","Oh doğru, Lanetli Leyla. Gayet çirkin olabiliyorlar. Ama hiçbir şey senin az sonra başına geleceklere yetişemez."
Bring it on!<kgwait> I'm not afraid of some overgrown salad made by Hibiscus Hannah-,Gönder gelsin!<kgwait> Biraz fazla büyümüş salatalarından korkmuyorum Hibiskus Hazal-
OW!<kgwait> Stop!<kgwait> Jeez!<kgwait>,AH!<kgwait> Dur!<kgwait> Tanrım!<kgwait>
"I'll call them off if you say you're sorry, Beat-up Brittney.","Özür dilersen durmalarını söylerim, Dövülmüş Dilek."
Ouch!<kgwait> Okay! Fine!<kgwait> I'm sorry you're ugly and have a stupid hobby!,"Ahh!<kgwait> Tamam! Peki!<kgwait> Özür dilerim, çirkin ve aptal bir hobiye sahip olduğun için!"
"Wow, Stubborn Susan. That was not the apology I was looking for.","Vay be, İnatçı İpek. Bu benim istediğim özür değildi."
"Thank you, my friends.<kgwait> Let her nourish you.","Teşekkürler, dostlarım.<kgwait> Onun kalıntıları sizi beslesin."
"There. It's done.<kgwait> Goodbye, my friends.","Tamam. İş bitti.<kgwait> Elveda, dostlarım."
"Oh, wow! Would you look at that!","Oh, vay canına! Şuna da bir bak!"
"Oh, good!<kgwait> You're still here.","Oh, güzel!<kgwait> Hala buradasın."
That was a lot.,Bu çok fazlaydı.
What is it?,O da nedir?
It's a rare white flower!<kgwait> These are so hard to grow here. It's really good at combatting the effects of goo! The rabbits also hate them.,Nadir bulunan bir beyaz çiçek!<kgwait> Burada yetiştirmesi çok zor oluyor. Balçığın etkileriyle savaşmaya yarar! Tavşanlar da bundan nefret eder.
That's neat.,Güzelmiş.
I want you to have it as a thank you for being so rosy to me today.,Bugün bana çok iyi davrandığın için bunu almanı istiyorum.
Cool beans.,Güzel.
Yeah!<kgwait> Beans are cool!,Yeah!<kgwait> Beans are cool!
That's not what I-,That's not what I-
See you tomorrow!,Yarın görüşürüz!
"Bye, Emmy.","Güle güle, Emmy."
Yeah. Do you think I took it too far?,Evet. Sence çok mu abarttım?
She's dead.,Kız öldü.
I mean... <kgwait>we all become food for the earth eventually. She just did a little sooner because she was being a canker-blossom.,"Yani... <kgwait>Sonuçta hepimiz dünyaya yiyecek oluyoruz. Sadece, yılanlık yaptığı için biraz erken gitti o."
Not far enough.,Yeterince abartmadın.
Okay then.,Tamam o zaman.
"Anyway, I think the plants are trying to tell me something. After they took her, they gave me this!","Her neyse, sanırım bitkiler bana bir şey söylemeye çalışıyor. Onu aldıktan sonra bana bunu verdiler!"
"Yeah... <kgwait>I suppose they could have torn her up a little more. It would make her better fertilizer.<kgwait> We'll do that next time someone tears up my garden, steals my lunch, and takes my flowers.","Evet... <kgwait>Sanırım onu biraz daha parçalayabilirlerdi. Daha iyi bir gübre olurdu.<kgwait> Biri tekrar bahçemi berbat edip, öğle yemeğimi çalıp, çiçeklerimi alırsa ona öyle yaparız."
Yeah. Next time.,Evet. Bir sonrakine.
Wanna be in a play?,Bir tiyatroda oynamak ister misin?
"Oh, I would love to!<kgwait> Please tell me we're doing Jack and the Beanstalk today!","Oh, çok isterim!<kgwait> Lütfen bugün Jack ve Fasulye Sırığı oynadığımızı söyle!"
King Lear.,Kral Lear.
Oh... <kgwait>I don't like that one.,Oh... <kgwait>Onu sevmiyorum.
Why not?,Neden?
"If she's putting it on today, you'll find out shortly.","Eğer bugün onu oynatacaksa, yakında anlarsın."
I see.,Anladım.
"I'm a little disappointed I'm not allowed to check on my flowers on the playground, but the veggies could always use more love!",Oyun alanındaki çiçeklerimi kontrol edemediğim için biraz hayal kırıklığına uğradım. Ama sebzelerime de sevgi göstermem gerek!
Yes they can.,Evet öyle.
Nugget is feeling quite strange.,Nugget kendini çok garip hissediyor.
That's pretty normal for you.,Bu senin için normal.
Not my problem.,Benim problemim değil.
Nugget's arm is feeling quite tingly!,Nugget'ın kolu karıncalanıyor!
Nugget feels much better now.,Nugget artık daha iyi hissediyor.
Your arm changed.,Kolun değişti.
I'm gonna go.,Gidiyorum.
What? Oh yes! Nugget's arm is different now.,Ne? Oh evet! Nugget'ın kolu artık farklı.
It's a claw.,O bir pençe.
Perhaps the goo is trying to tell Nugget something. Nugget feels he should use the claw.,Belki de balçık Nugget'a bir şey anlatmaya çalışıyordur. Nugget pençeyi kullanması gerektiğini düşünüyor.
(Back away slowly.),(Yavaşça geri çekil.)
Nugget feels better now! Nugget requires more goo!,Nugget artık daha iyi hissediyor! Nugget'ın daha fazla balçığa ihtiyacı var!
Nugget requires more goo to perform his role.,Nugget'ın rolünü oynayabilmesi için daha fazla balçığa ihtiyacı var.
I'm working on it.,Üzerinde çalışıyorum.
Nugget can reach the high goo! Nugget will climb! Nugget will leave the ground to which he has become accustomed and soar like a-,Nugget yüksekteki balçığa erişebilir! Nugget tırmanacak! Nugget alıştığı yeryüzünü bırakıp süzülec-
"<wave>Oh, foul creature! Heed my rhyme!<kgwait><br>Unless we're doing a show, I forbid you to climb!</wave>","<wave>Oh, garip yaratık! Dinle kafiyemi!<kgwait><br>Eğer bir şov yapmıyorsak, yasaklıyorum tırmanmanı!</wave>"
But... <kgwait>but... <kgwait>Nugget needs goo!,Ama... <kgwait>ama... <kgwait>Nugget'ın balçığa ihtiyacı var!
<wave>Then let's put on a show! Go have a look!<kgwait><br>I'm sure there's climbing a beanstalk in one of those books!</wave>,"<wave>O zaman şovumuzu yapalım! Gidip bir bakın!<kgwait><br>Eminim ki tırmanma vardır, içinde şu kitapların!</wave>"
Nugget is far too shortsighted for that. Nugget will continue desperately trying to reach the goo.,Nugget bunun için fazla miyop. Nugget çaresizce balçığa erişmeye çalışmaya devam edecek.
"Nugget cannot reach the goo! Even with the massive plant, Nugget is bound to the Earth.","Nugget balçığa ulaşamıyor! Şu devasa bitkiye rağmen, Nugget yeryüzüne çakılıp kaldı."
There there.,"Geçti, geçti."
